row,pack_voltage,current,soc,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature
pack_voltage,-4.181622729603869e-31,-0.01966807246208191,0.0,0.0,0.01971524953842163,-4.7100591473281384e-05,0.0
current,2.7685242950566515e-34,1.1920928955078125e-06,0.0,0.0,2.562999725341797e-06,-3.725137503352016e-06,0.0
soc,3.297151451461127e-34,-0.020283490419387817,0.0,0.0,0.020330190658569336,-4.674552474170923e-05,0.0
max_cell_voltage,5.060350366024341e-33,-0.022088944911956787,0.0,0.0,0.022111356258392334,-2.231480902992189e-05,0.0
min_cell_voltage,7.77569539068934e-30,0.0,0.0,0.0,0.0,0.0,0.0
max_temperature,9.032250327311564e-30,-0.017025113105773926,0.0,0.0,0.017022371292114258,2.7395435608923435e-06,0.0
min_temperature,6.0729799745402004e-33,-0.015242248773574829,0.0,0.0,0.01514899730682373,9.327399311587214e-05,0.0
