row,pack_voltage,current,soc,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature
pack_voltage,0.0,0.0,0.0901653990149498,0.09027483314275742,0.09027483314275742,0.0,0.0
current,0.0,0.0,0.0,0.0,0.0,-0.06815249472856522,-0.06815249472856522
soc,0.0901653990149498,0.0,0.0,0.0901653990149498,0.0901653990149498,0.0,0.0
max_cell_voltage,0.09027483314275742,0.0,0.0901653990149498,0.0,0.09027483314275742,0.0,0.0
min_cell_voltage,0.09027483314275742,0.0,0.0901653990149498,0.09027483314275742,0.0,0.0,0.0
max_temperature,0.0,-0.06815249472856522,0.0,0.0,0.0,0.0,0.0862654447555542
min_temperature,0.0,-0.06815249472856522,0.0,0.0,0.0,0.0862654447555542,0.0
