row,pack_voltage,current,soc,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature
pack_voltage,-2.802596928649634e-45,-0.020538687705993652,0.020538628101348877,1.750248238456703e-37,0.0,-2.7872010255336477e-11,0.0
current,0.0,0.0,0.0,0.0,0.0,-7.99598018005887e-14,0.0
soc,6.824323521261859e-41,0.0,0.0,4.039575316341252e-34,0.0,0.0,0.0
max_cell_voltage,0.0,-0.02426859736442566,0.024268627166748047,-2.4470393035832553e-37,0.0,-1.0877659883945512e-11,0.0
min_cell_voltage,0.0,-0.022397249937057495,0.022397220134735107,4.3968541915119785e-41,0.0,-2.3500063006665073e-11,0.0
max_temperature,0.0,-0.018326520919799805,0.01832646131515503,3.8636937569995294e-39,0.0,6.246657921829546e-15,0.0
min_temperature,0.0,-0.01788070797920227,0.017880737781524658,4.680897390230619e-41,0.0,5.4446808173125305e-11,0.0
