row,pack_voltage,current,soc,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature
pack_voltage,6.627694442139565e-30,0.3117500841617584,0.0,0.0,0.6875033974647522,0.000746571458876133,0.0
current,7.352871314020598e-29,0.31821978092193604,0.0,0.0,0.681727409362793,5.282046186039224e-05,0.0
soc,1.081808700024499e-32,0.33251598477363586,0.0,0.0,0.6667176485061646,0.0007663183496333659,0.0
max_cell_voltage,1.3322024414662837e-31,0.4175795316696167,0.0,0.0,0.5819986462593079,0.000421848933910951,0.0
min_cell_voltage,9.008358564498332e-29,0.35612794756889343,0.0,0.0,0.6438124179840088,5.965311356703751e-05,0.0
max_temperature,2.7662550680996773e-28,0.4785819351673126,0.0,0.0,0.5213341116905212,8.390231232624501e-05,0.0
min_temperature,2.686267432165771e-31,0.32901036739349365,0.0,0.0,0.670087456703186,0.0009021711884997785,0.0
