row,pack_voltage,current,soc,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature
pack_voltage,3.783505853677006e-44,0.27921390533447266,0.7207860946655273,6.238082483860947e-36,0.0,3.7890687809571943e-10,0.0
current,1.372910960034525e-39,0.37807533144950867,0.621924638748169,5.658924579090527e-33,0.0,1.014476371831441e-12,0.0
soc,7.179300448244622e-40,0.20123155415058136,0.7987684607505798,4.2496086061843474e-33,0.0,5.382637694936743e-13,0.0
max_cell_voltage,2.382207389352189e-44,0.40427955985069275,0.5957204103469849,4.076685652907697e-36,0.0,1.8120639710961228e-10,0.0
min_cell_voltage,0.0,0.32846882939338684,0.6715311408042908,1.3354276274123004e-39,0.0,3.4464206488671323e-10,0.0
max_temperature,2.6624670822171524e-44,0.39918479323387146,0.6008152365684509,1.266677402415289e-37,0.0,2.0479048957935259e-13,0.0
min_temperature,0.0,0.37155696749687195,0.6284430623054504,1.6451608308774077e-39,0.0,4.798040298403805e-10,0.0
