plan_name,experiment_name,comment,dataset,model_name,use_transformer,use_regime_condition,regime_encoder_type,regime_aux_lambda,regime_condition_mode,score_fusion_mode,use_event_consistency,use_physical_state_encoding,physical_state_injection_mode,physical_state_feature_mode,use_physical_response_features,physical_feature_fusion_mode,battery_response_only_training,use_physical_regularization,use_physical_response_score,physical_response_terms,nasa_train_batteries,nasa_test_batteries
06_kaggle_formal,battery_mtadgat_all,忠实MTAD-GAT：训练和计分均覆盖全部通道。,TSINGHUA_EV,mtad_gat,,,temporal,0.0,fusion,fixed,,,,,,,,,,,,
06_kaggle_formal,battery_c3,第三章主模型：电流/SOC工况编码及融合表示FiLM条件化。,TSINGHUA_EV,mtad_gat_c3_regime,,,temporal,0.05,fusion,quality_aware,,,,,,,,,,,,
06_kaggle_formal,battery_c4,第四章主模型：C3加物理状态、响应一致性损失及物理响应计分。,TSINGHUA_EV,mtad_gat_c4_physics,,,temporal,0.05,fusion,quality_aware,,,,,,,,,,,,
06_kaggle_formal,battery_c3_no_condition,核心消融仅在brand3完整五折：去掉工况条件化。,TSINGHUA_EV,mtad_gat_c3_regime,,False,temporal,0.0,fusion,quality_aware,,,,,,,,,,,,
06_kaggle_formal,battery_c3_no_aux,核心消融仅在brand3完整五折：去掉状态辅助任务。,TSINGHUA_EV,mtad_gat_c3_regime,,,temporal,0.0,fusion,quality_aware,,,,,,,,,,,,
06_kaggle_formal,battery_c4_state_only,核心消融仅在brand3完整五折：保留物理状态编码，去掉物理损失与计分。,TSINGHUA_EV,mtad_gat_c4_physics,,,temporal,0.05,fusion,quality_aware,,,,,,,,False,False,,,
07_c4_outer_gate_diagnostic,battery_c3_outer_gate,外层门控 C3 参照：h_end = h_gru + gate(regime) * h_transformer。,TSINGHUA_EV,mtad_gat_c3_regime,,,temporal,0.05,transformer_residual,quality_aware,,,,,,,,,,,,
07_c4_outer_gate_diagnostic,battery_c4_outer_gate_state_only,仅相对外层门控 C3 增加物理状态编码；关闭物理损失与物理响应计分。,TSINGHUA_EV,mtad_gat_c4_physics,,,temporal,0.05,transformer_residual,quality_aware,,,,,,,,False,False,,,
